jday	Time	u_ref	t_ref	D_ref	precip	Qpar	t_canopy	D_canopy	p_atm	CO2_atm	t_surface	t_soil	t_root	Zw	xylem_capacity_multiplier	NEEobs	Ecobs
201898	0	0.85	20.88	1.15	0	0.115	20.88	1.15	83.7	380	20.88	20.88	20.88	10	1	-999	-999
201898	0.5	0.85	20.68	1.12	0	0.097	20.68	1.12	83.7	380	20.68	20.68	20.68	10	1	-999	-999
201898	1	0.85	20.88	1.19	0	0.105	20.88	1.19	83.7	380	20.88	20.88	20.88	10	1	-999	-999
201898	1.5	0.85	20.7	1.21	0	0.081	20.7	1.21	83.7	380	20.7	20.7	20.7	10	1	-999	-999
201898	2	0.85	20.44	1.13	0	0.086	20.44	1.13	83.7	380	20.44	20.44	20.44	10	1	-999	-999
201898	2.5	0.85	20.27	1.13	0	0.099	20.27	1.13	83.7	380	20.27	20.27	20.27	10	1	-999	-999
201898	3	0.85	20.79	1.26	0	0.094	20.79	1.26	83.7	380	20.79	20.79	20.79	10	1	-999	-999
201898	3.5	0.85	20.34	1.22	0	0.091	20.34	1.22	83.7	380	20.34	20.34	20.34	10	1	-999	-999
201898	4	0.85	20.29	1.21	0	0.083	20.29	1.21	83.7	380	20.29	20.29	20.29	10	1	-999	-999
201898	4.5	0.85	20.49	1.25	0	0.086	20.49	1.25	83.7	380	20.49	20.49	20.49	10	1	-999	-999
201898	5	0.85	21.85	1.29	0	138.6	21.85	1.29	83.7	380	21.85	21.85	21.85	10	1	-999	-999
201898	5.5	0.85	21.5	1.2	0	143.7	21.5	1.2	83.7	380	21.5	21.5	21.5	10	1	-999	-999
201898	6	0.85	21.12	1.54	0	148.5	21.12	1.54	83.7	380	21.12	21.12	21.12	10	1	-999	-999
201898	6.5	0.85	19.98	1.14	0	151.6	19.98	1.14	83.7	380	19.98	19.98	19.98	10	1	-999	-999
201898	7	0.85	21.06	1.03	0	156.9	21.06	1.03	83.7	380	21.06	21.06	21.06	10	1	-999	-999
201898	7.5	0.85	21.39	1.45	0	186.8	21.39	1.45	83.7	380	21.39	21.39	21.39	10	1	-999	-999
201898	8	0.85	22.5	1.61	0	206.3	22.5	1.61	83.7	380	22.5	22.5	22.5	10	1	-999	-999
201898	8.5	0.85	22.15	1.5	0	162.8	22.15	1.5	83.7	380	22.15	22.15	22.15	10	1	-999	-999
201898	9	0.85	23.48	1.8	0	223.8	23.48	1.8	83.7	380	23.48	23.48	23.48	10	1	-999	-999
201898	9.5	0.85	23.38	2.01	0	216.1	23.38	2.01	83.7	380	23.38	23.38	23.38	10	1	-999	-999
201898	10	0.85	25.56	2.34	0	1074	25.56	2.34	83.7	380	25.56	25.56	25.56	10	1	-999	-999
201898	10.5	0.85	26.58	2.57	0	826	26.58	2.57	83.7	380	26.58	26.58	26.58	10	1	-999	-999
201898	11	0.85	27.69	2.88	0	232.7	27.69	2.88	83.7	380	27.69	27.69	27.69	10	1	-999	-999
